aX,aY,aZ,gX,gY,gZ
-0.148,1.046,-0.745,-8.179,-11.353,-48.035
-0.161,1.082,-0.731,-10.193,-15.259,-58.289
-0.190,1.131,-0.713,-11.536,-17.334,-65.979
-0.192,1.177,-0.706,-13.000,-17.944,-74.219
-0.211,1.267,-0.685,-17.700,-17.883,-81.543
-0.248,1.361,-0.623,-23.682,-17.639,-86.792
-0.268,1.429,-0.559,-27.222,-17.090,-92.041
-0.318,1.523,-0.507,-32.349,-14.832,-94.299
-0.383,1.634,-0.497,-41.443,-9.888,-95.398
-0.416,1.689,-0.543,-53.772,-0.122,-93.750
-0.515,1.705,-0.566,-74.158,13.977,-94.238
-0.605,1.692,-0.556,-94.971,25.879,-93.994
-0.645,1.635,-0.490,-113.159,27.832,-86.792
-0.646,1.618,-0.388,-128.906,23.682,-75.684
-0.621,1.606,-0.303,-139.954,18.616,-66.711
-0.581,1.545,-0.256,-145.752,12.024,-63.110
-0.553,1.417,-0.251,-144.226,2.258,-65.552

0.303,-0.023,-1.025,10.498,6.409,-6.226
0.306,-0.062,-1.043,13.000,7.507,-8.118
0.295,-0.106,-1.053,15.869,7.080,-10.559
0.271,-0.152,-1.060,18.677,5.676,-12.390
0.248,-0.193,-1.072,21.606,4.761,-12.573
0.230,-0.219,-1.090,23.926,4.944,-11.353
0.225,-0.234,-1.123,26.306,6.775,-7.874
0.240,-0.233,-1.168,29.053,9.155,-3.357
0.264,-0.219,-1.205,30.762,10.925,1.770
0.303,-0.195,-1.228,31.250,12.024,6.531
0.353,-0.173,-1.241,31.372,12.817,10.925
0.403,-0.154,-1.241,31.738,13.184,13.306
0.450,-0.143,-1.230,31.860,13.611,13.733
0.486,-0.143,-1.220,33.264,13.550,12.634
0.506,-0.147,-1.204,35.217,13.245,10.925
0.522,-0.164,-1.188,37.598,12.817,9.033
0.531,-0.183,-1.164,40.344,13.245,8.545
0.538,-0.193,-1.133,41.809,14.587,9.338
0.536,-0.193,-1.092,41.809,16.663,10.010
0.517,-0.195,-1.041,42.664,18.066,10.376
0.507,-0.204,-0.998,45.349,18.860,11.658
0.498,-0.205,-0.966,48.035,20.813,14.221
0.488,-0.200,-0.951,50.598,23.987,16.479
0.471,-0.218,-0.944,51.819,26.062,17.334
0.428,-0.235,-0.914,50.842,24.109,15.869
0.374,-0.257,-0.864,49.500,18.005,13.000
0.309,-0.295,-0.804,48.889,9.216,9.766
0.218,-0.323,-0.723,49.133,-0.244,5.554
0.094,-0.343,-0.614,50.476,-8.362,2.869
-0.050,-0.371,-0.493,54.077,-13.550,4.883
-0.244,-0.343,-0.361,59.509,-15.808,8.972
